Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
58852596.34978162,58868179.733449355,58883767.243202314,58899358.8803202,58914954.64589588,58930554.541022524,58946158.566793576,58961766.72430277,58977379.01464414,58992995.438912004,59008615.998200975,59024240.69360595,59039869.52622212,59055502.49714495,59071139.60747023,59086780.858294,59102426.25071262,59118075.78582272,59133729.46472124,59149387.28850539,59165049.258272685,59180715.37512093,59196385.640148215,59212060.05445292,59227738.61913371,59243421.33528957,59259108.20401973,59274799.226423755,59290494.403601475,59306193.73665302,59321897.22667882,59337604.874779575,59353316.682056285,59369032.64961025,59384752.77854306,59400477.069956586,59416205.524953,59431938.14463476,59447674.93010463,59463415.88246564,59479161.00282113,59494910.29227474,59510663.75193039,59526421.38289229,59542183.18626494,59557949.16315315,59573719.314662,59589493.64189688,59605272.14596347,59621054.82796773,59636841.68901594,59652632.73021463,59668427.95267067,59684227.357491195,59700030.94578363,59715838.71865571,59731650.677215464,59747466.822571196,59763287.155831516,59779111.678105325
85604786.96169344,85628050.11165938,85651319.5833997,85674595.3786323,85697877.49907562,85721165.94644852,85744460.72247036,85767761.82886094,85791069.26734056,85814383.03962995,85837703.14745034,85861029.59252341,85884362.37657131,85907701.50131665,85931046.96848254,85954398.77979252,85977756.93697062,86001121.44174133,86024492.29582962,86047869.50096092,86071253.05886112,86094642.9712566,86118039.23987418,86141441.86644119,86164850.85268539,86188266.20033503,86211687.91111882,86235115.98676595,86258550.42900608,86281991.23956934,86305438.42018631,86328891.97258806,86352351.89850613,86375818.19967254,86399290.87781975,86422769.9346807,86446255.37198883,86469747.19147803,86493245.39488265,86516749.98393752,86540260.96037795,86563778.32593971,86587302.08235906,86610832.23137271,86634368.77471785,86657911.71413216,86681461.05135375,86705016.78812124,86728578.92617372,86752147.46725072,86775722.41309229,86799303.7654389,86822891.52603155,86846485.69661167,86870086.27892119,86893693.27470247,86917306.68569842,86940926.51365234,86964552.76030806,86988185.42740986
85604724.717494,85627925.58943892,85651132.74935989,85674346.19896111,85697565.93994722,85720791.97402333,85744024.30289501,85767262.9282683,85790507.8518497,85813759.07534619,85837016.60046515,85860280.4289145,85883550.56240258,85906827.00263819,85930109.75133063,85953398.81018962,85976694.18092537,85999995.86524855,86023303.86487028,86046618.18150215,86069938.81685622,86093265.77264501,86116599.05058151,86139938.65237917,86163284.57975191,86186636.8344141,86209995.41808057,86233360.33246663,86256731.57928807,86280109.16026111,86303493.07710247,86326883.3315293,86350279.92525925,86373682.8600104,86397092.13750133,86420507.75945106,86443929.7275791,86467358.0436054,86490792.70925039,86514233.72623496,86537681.09628047,86561134.82110876,86584594.90244211,86608061.34200329,86631534.14151552,86655013.3027025,86678498.8272884,86701990.71699785,86725488.97355592,86748993.5986882,86772504.59412071,86796021.96157995,86819545.70279288,86843075.81948696,86866612.31339008,86890155.1862306,86913704.43973738,86937260.07563972,86960822.0956674,86984390.50155067
85604231.31416407,85626938.51788196,85649651.74486639,85672370.99671505,85695096.2750261,85717827.5813981,85740564.91743004,85763308.28472134,85786057.68487185,85808813.11948182,85831574.59015194,85854342.09848332,85877115.64607751,85899895.23453645,85922680.86546256,85945472.54045862,85968270.26112789,85991074.02907401,86013883.8459011,86036699.71321365,86059521.63261661,86082349.60571533,86105183.63411562,86128023.7194237,86150869.86324619,86173722.06719017,86196580.33286314,86219444.66187301,86242315.05582815,86265191.51633732,86288074.04500972,86310962.64345498,86333857.31328316,86356758.05610473,86379664.87353063,86402577.76717217,86425496.73864113,86448421.78954968,86471352.92151046,86494290.13613652,86517233.43504131,86540182.81983876,86563138.2921432,86586099.85356937,86609067.50573248,86632041.25024812,86655021.08873236,86678007.02280167,86700999.05407293,86723997.1841635,86747001.41469112,86770011.747274,86793028.18353073,86816050.72508039,86839079.37354244,86862114.1305368,86885154.99768378,86908201.97660416,86931255.06891915,86954314.27625036
85604101.57600935,85626678.97286369,85649262.32432583,85671851.63196622,85694446.89735575,85717048.12206575,85739655.30766793,85762268.45573442,85784887.56783777,85807512.64555098,85830143.6904474,85852780.70410085,85875423.68808551,85898072.64397603,85920727.57334745,85943388.47777522,85966055.35883522,85988728.21810374,86011407.05715747,86034091.87757355,86056782.68092951,86079479.4688033,86102182.2427733,86124891.00441827,86147605.75531743,86170326.4970504,86193053.23119721,86215785.9593383,86238524.68305455,86261269.40392725,86284020.12353809,86306776.84346919,86329539.56530309,86352308.29062274,86375083.02101153,86397863.75805323,86420650.50333205,86443443.25843261,86466242.02493997,86489046.80443957,86511857.5985173,86534674.40875944,86557497.23675273,86580326.0840843,86603160.95234169,86626001.84311287,86648848.75798625,86671701.69855061,86694560.6663952,86717425.66310966,86740296.69028406,86763173.74950887,86786056.84237501,86808945.97047381,86831841.135397,86854742.33873676,86877649.58208565,86900562.8670367,86923482.1951833,86946407.56811933
85604060.81348011,85626597.42629874,85649139.97223449,85671688.45284933,85694242.86970566,85716803.22436629,85739369.51839444,85761941.75335373,85784519.93080822,85807104.05232234,85829694.11946099,85852290.13378942,85874892.09687334,85897500.01027885,85920113.87557246,85942733.6943211,85965359.4680921,85987991.19845323,86010628.88697265,86033272.53521894,86055922.14476109,86078577.7171685,86101239.25401099,86123906.7568588,86146580.22728257,86169259.66685335,86191945.07714263,86214636.45972227,86237333.81616458,86260037.14804229,86282746.4569285,86305461.74439678,86328183.01202105,86350910.26137571,86373643.49403553,86396382.71157572,86419127.91557188,86441879.10760005,86464636.28923666,86487399.46205859,86510168.6276431,86532943.78756787,86555724.94341102,86578512.09675106,86601305.24916694,86624104.40223798,86646909.55754398,86669720.7166651,86692537.88118196,86715361.05267555,86738190.23272732,86761025.42291911,86783866.62483318,86806713.84005222,86829567.07015932,86852426.316738,86875291.58137217,86898162.8656462,86921040.17114484,86943923.49945329
85604153.7857497,85626783.41994722,85649419.03633511,85672060.63649477,85694708.22200802,85717361.7944571,85740021.35542466,85762686.9064938,85785358.449248,85808035.98527117,85830719.51614766,85853409.0434622,85876104.56879999,85898806.09374659,85921513.61988802,85944227.14881071,85966946.68210152,85989672.22134769,86012403.76813693,86035141.32405734,86057884.89069743,86080634.46964617,86103390.06249292,86126151.67082746,86148919.29624,86171692.94032116,86194472.604662,86217258.29085398,86240050.00048898,86262847.73515932,86285651.49645774,86308461.28597738,86331277.10531181,86354098.95605503,86376926.83980146,86399760.75814593,86422600.7126837,86445446.70501043,86468298.73672225,86491156.80941567,86514020.92468765,86536891.08413555,86559767.28935716,86582649.54195069,86605537.84351477,86628432.19564848,86651332.59995127,86674239.05802307,86697151.57146418,86720070.14187537,86742994.77085781,86765925.46001309,86788862.21094324,86811805.02525069,86834753.9045383,86857708.85040939,86880669.86446764,86903636.9483172,86926610.10356264,86949589.33180894
85603843.58316441,85626162.5940367,85648487.42402242,85670818.07463607,85693154.54739524,85715496.8438179,85737844.96542242,85760198.91372757,85782558.6902525,85804924.29651679,85827295.73404038,85849673.00434363,85872056.10894728,85894445.04937248,85916839.82714078,85939240.4437741,85961646.90079479,85984059.19972557,86006477.34208956,86028901.32941031,86051331.16321173,86073766.84501815,86096208.37635426,86118655.75874521,86141108.9937165,86163568.08279403,86186033.0275041,86208503.82937345,86230980.48992915,86253463.01069874,86275951.39321008,86298445.6389915,86320945.74957168,86343451.72647972,86365963.57124512,86388481.28539777,86411004.87046796,86433534.32798639,86456069.65948415,86478610.86649272,86501157.950544,86523710.91317026,86546269.75590421,86568834.48027892,86591405.08782789,86613981.58008501,86636563.95858455,86659152.2248612,86681746.38045007,86704346.42688662,86726952.36570674,86749564.19844674,86772181.92664328,86794805.55183348,86817435.07555482,86840070.49934518,86862711.82474285,86885359.05328654,86908012.18651533,86930671.22596872
85809547.3798841,86038159.15219702,86267379.98733921,86497211.50722615,86727655.33882977,86958713.1134565,87190386.46675888,87422677.0387471,87655586.47380064,87889116.42067988,88123268.5325378,88358044.46693166,88593445.88583475,88829474.45564817,89066131.84721258,89303419.73582007,89541339.80122598,89779893.72766083,90019083.20384227,90258909.92298691,90499375.58282244,90740481.88559958,90982230.53810416,91224623.25166918,91467661.74218693,91711347.73012115,91955682.94051917,92200669.10302418,92446307.95188746,92692601.2259806,92939550.66880785,93187158.0285185,93435425.0579192,93684353.51448639,93933945.16037872,94184201.76244956,94435125.0922595,94686716.92608882,94938979.04495022,95191913.23460124,95445521.28555706,95699804.99310306,95954766.15730761,96210406.58303477,96466728.07995705,96723732.4625683,96981421.55019645,97239797.16701649,97498861.14206329,97758615.3092446,98019061.50735405,98280201.58008412,98542037.3760392,98804570.74874873,99067803.55668023,99331737.66325253,99596374.93684895,99861717.25083049,100127766.48354912,100394524.51836106
85807705.68275815,86034466.08901878,86261825.74617639,86489786.23711666,86718349.14963776,86947516.07573378,87177288.61160594,87407668.35767367,87638656.91858578,87870255.90323158,88102466.92475213,88335291.6005515,88568731.552308,88802788.40598543,89037463.79184452,89272759.34445418,89508676.70270297,89745217.50981042,89982383.41333854,90220176.06520332,90458597.12168616,90697648.24344546,90937331.09552816,91177647.34738135,91418598.67286393,91660186.75025819,91902413.26228158,92145279.89609839,92388788.34333149,92632940.30007415,92877737.46690181,93123181.54888399,93369274.25559609,93616017.30113134,93863412.40411274,94111461.28770502,94360165.67962664,94609527.31216185,94859547.92217268,95110229.25111116,95361573.04503134,95613581.0546015,95866255.03511636,96119596.74650924,96373607.9533644,96628290.42492928,96883645.93512681,97139676.26256785,97396383.19056347,97653768.50713743,97911834.00503865,98170581.48175363,98430012.73951906,98690129.58533429,98950933.83097395,99212427.29300061,99474611.79277734,99737489.15648049,100001061.21511234,100265329.8045139
