Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
[999.2812014],[999.28099647],[999.28099281],[999.28098916],[999.28098551],[999.28098185],[999.2809782],[999.28097454],[999.28097089],[999.28096724],[999.28096358],[999.28095993],[999.28095627],[999.28095262],[999.28094897],[999.28094531],[999.28094166],[999.28093801],[999.28093435],[999.2809307],[999.28092704],[999.28092339],[999.28091974],[999.28091608],[999.28091243],[999.28090877],[999.28090512],[999.28090147],[999.28089781],[999.28089416],[999.28089051],[999.28088685],[999.2808832],[999.28087954],[999.28087589],[999.28087224],[999.28086858],[999.28086493],[999.28086127],[999.28085762],[999.28085397],[999.28085031],[999.28084666],[999.280843],[999.28083935],[999.2808357],[999.28083204],[999.28082839],[999.28082474],[999.28082108],[999.28081743],[999.28081377],[999.28081012],[999.28080647],[999.28080281],[999.28079916],[999.2807955],[999.28079185],[999.2807882],[999.28078454]
[999.43151476],[999.43184166],[999.43184187],[999.43184209],[999.4318423],[999.43184252],[999.43184273],[999.43184295],[999.43184316],[999.43184338],[999.43184359],[999.43184381],[999.43184402],[999.43184424],[999.43184445],[999.43184467],[999.43184488],[999.4318451],[999.43184531],[999.43184552],[999.43184574],[999.43184595],[999.43184617],[999.43184638],[999.4318466],[999.43184681],[999.43184703],[999.43184724],[999.43184746],[999.43184767],[999.43184789],[999.4318481],[999.43184832],[999.43184853],[999.43184875],[999.43184896],[999.43184917],[999.43184939],[999.4318496],[999.43184982],[999.43185003],[999.43185025],[999.43185046],[999.43185068],[999.43185089],[999.43185111],[999.43185132],[999.43185154],[999.43185175],[999.43185197],[999.43185218],[999.4318524],[999.43185261],[999.43185283],[999.43185304],[999.43185325],[999.43185347],[999.43185368],[999.4318539],[999.43185411]
[999.1982577],[999.19838273],[999.19836701],[999.1983513],[999.19833559],[999.19831988],[999.19830417],[999.19828846],[999.19827275],[999.19825703],[999.19824132],[999.19822561],[999.1982099],[999.19819419],[999.19817848],[999.19816277],[999.19814705],[999.19813134],[999.19811563],[999.19809992],[999.19808421],[999.1980685],[999.19805279],[999.19803707],[999.19802136],[999.19800565],[999.19798994],[999.19797423],[999.19795852],[999.19794281],[999.19792709],[999.19791138],[999.19789567],[999.19787996],[999.19786425],[999.19784854],[999.19783283],[999.19781711],[999.1978014],[999.19778569],[999.19776998],[999.19775427],[999.19773856],[999.19772285],[999.19770713],[999.19769142],[999.19767571],[999.19766],[999.19764429],[999.19762858],[999.19761287],[999.19759715],[999.19758144],[999.19756573],[999.19755002],[999.19753431],[999.1975186],[999.19750289],[999.19748718],[999.19747146]
[999.23021588],[999.23001315],[999.22999143],[999.2299697],[999.22994798],[999.22992626],[999.22990454],[999.22988282],[999.2298611],[999.22983937],[999.22981765],[999.22979593],[999.22977421],[999.22975249],[999.22973076],[999.22970904],[999.22968732],[999.2296656],[999.22964388],[999.22962215],[999.22960043],[999.22957871],[999.22955699],[999.22953527],[999.22951354],[999.22949182],[999.2294701],[999.22944838],[999.22942666],[999.22940494],[999.22938321],[999.22936149],[999.22933977],[999.22931805],[999.22929633],[999.2292746],[999.22925288],[999.22923116],[999.22920944],[999.22918772],[999.22916599],[999.22914427],[999.22912255],[999.22910083],[999.22907911],[999.22905738],[999.22903566],[999.22901394],[999.22899222],[999.2289705],[999.22894878],[999.22892705],[999.22890533],[999.22888361],[999.22886189],[999.22884017],[999.22881844],[999.22879672],[999.228775],[999.22875328]
[999.38984344],[999.38979157],[999.38978113],[999.38977068],[999.38976024],[999.38974979],[999.38973935],[999.3897289],[999.38971846],[999.38970801],[999.38969757],[999.38968712],[999.38967668],[999.38966623],[999.38965579],[999.38964534],[999.3896349],[999.38962446],[999.38961401],[999.38960357],[999.38959312],[999.38958268],[999.38957223],[999.38956179],[999.38955134],[999.3895409],[999.38953045],[999.38952001],[999.38950956],[999.38949912],[999.38948868],[999.38947823],[999.38946779],[999.38945734],[999.3894469],[999.38943645],[999.38942601],[999.38941556],[999.38940512],[999.38939467],[999.38938423],[999.38937378],[999.38936334],[999.3893529],[999.38934245],[999.38933201],[999.38932156],[999.38931112],[999.38930067],[999.38929023],[999.38927978],[999.38926934],[999.38925889],[999.38924845],[999.389238],[999.38922756],[999.38921712],[999.38920667],[999.38919623],[999.38918578]
[999.36807594],[999.36813296],[999.36811585],[999.36809875],[999.36808165],[999.36806455],[999.36804745],[999.36803035],[999.36801325],[999.36799614],[999.36797904],[999.36796194],[999.36794484],[999.36792774],[999.36791064],[999.36789353],[999.36787643],[999.36785933],[999.36784223],[999.36782513],[999.36780803],[999.36779093],[999.36777382],[999.36775672],[999.36773962],[999.36772252],[999.36770542],[999.36768832],[999.36767121],[999.36765411],[999.36763701],[999.36761991],[999.36760281],[999.36758571],[999.36756861],[999.3675515],[999.3675344],[999.3675173],[999.3675002],[999.3674831],[999.367466],[999.3674489],[999.36743179],[999.36741469],[999.36739759],[999.36738049],[999.36736339],[999.36734629],[999.36732918],[999.36731208],[999.36729498],[999.36727788],[999.36726078],[999.36724368],[999.36722658],[999.36720947],[999.36719237],[999.36717527],[999.36715817],[999.36714107]
[999.29394452],[999.29416322],[999.2941473],[999.29413139],[999.29411548],[999.29409957],[999.29408365],[999.29406774],[999.29405183],[999.29403591],[999.29402],[999.29400409],[999.29398817],[999.29397226],[999.29395635],[999.29394043],[999.29392452],[999.29390861],[999.29389269],[999.29387678],[999.29386087],[999.29384495],[999.29382904],[999.29381313],[999.29379722],[999.2937813],[999.29376539],[999.29374948],[999.29373356],[999.29371765],[999.29370174],[999.29368582],[999.29366991],[999.293654],[999.29363808],[999.29362217],[999.29360626],[999.29359034],[999.29357443],[999.29355852],[999.2935426],[999.29352669],[999.29351078],[999.29349487],[999.29347895],[999.29346304],[999.29344713],[999.29343121],[999.2934153],[999.29339939],[999.29338347],[999.29336756],[999.29335165],[999.29333573],[999.29331982],[999.29330391],[999.29328799],[999.29327208],[999.29325617],[999.29324025]
[999.20071597],[999.20076585],[999.20075579],[999.20074572],[999.20073565],[999.20072559],[999.20071552],[999.20070545],[999.20069538],[999.20068532],[999.20067525],[999.20066518],[999.20065512],[999.20064505],[999.20063498],[999.20062491],[999.20061485],[999.20060478],[999.20059471],[999.20058465],[999.20057458],[999.20056451],[999.20055444],[999.20054438],[999.20053431],[999.20052424],[999.20051418],[999.20050411],[999.20049404],[999.20048397],[999.20047391],[999.20046384],[999.20045377],[999.2004437],[999.20043364],[999.20042357],[999.2004135],[999.20040344],[999.20039337],[999.2003833],[999.20037323],[999.20036317],[999.2003531],[999.20034303],[999.20033297],[999.2003229],[999.20031283],[999.20030276],[999.2002927],[999.20028263],[999.20027256],[999.2002625],[999.20025243],[999.20024236],[999.20023229],[999.20022223],[999.20021216],[999.20020209],[999.20019203],[999.20018196]
[999.26871764],[999.26890018],[999.26889458],[999.26888898],[999.26888338],[999.26887779],[999.26887219],[999.26886659],[999.26886099],[999.26885539],[999.26884979],[999.26884419],[999.26883859],[999.26883299],[999.26882739],[999.26882179],[999.26881619],[999.26881059],[999.26880499],[999.26879939],[999.26879379],[999.26878819],[999.26878259],[999.26877699],[999.26877139],[999.26876579],[999.26876019],[999.26875459],[999.26874899],[999.26874339],[999.26873779],[999.26873219],[999.26872659],[999.26872099],[999.26871539],[999.26870979],[999.26870419],[999.26869859],[999.26869299],[999.26868739],[999.26868179],[999.26867619],[999.26867059],[999.26866499],[999.26865939],[999.26865379],[999.26864819],[999.26864259],[999.26863699],[999.26863139],[999.26862579],[999.26862019],[999.26861459],[999.26860899],[999.2686034],[999.2685978],[999.2685922],[999.2685866],[999.268581],[999.2685754]
[999.22764397],[999.22746726],[999.22745876],[999.22745027],[999.22744177],[999.22743328],[999.22742479],[999.22741629],[999.2274078],[999.2273993],[999.22739081],[999.22738232],[999.22737382],[999.22736533],[999.22735683],[999.22734834],[999.22733985],[999.22733135],[999.22732286],[999.22731436],[999.22730587],[999.22729737],[999.22728888],[999.22728039],[999.22727189],[999.2272634],[999.2272549],[999.22724641],[999.22723792],[999.22722942],[999.22722093],[999.22721243],[999.22720394],[999.22719545],[999.22718695],[999.22717846],[999.22716996],[999.22716147],[999.22715298],[999.22714448],[999.22713599],[999.22712749],[999.227119],[999.2271105],[999.22710201],[999.22709352],[999.22708502],[999.22707653],[999.22706803],[999.22705954],[999.22705105],[999.22704255],[999.22703406],[999.22702556],[999.22701707],[999.22700858],[999.22700008],[999.22699159],[999.22698309],[999.2269746]
