Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
[0.00946826],[0.0094592],[0.00945015],[0.00944111],[0.00943207],[0.00942305],[0.00941403],[0.00940502],[0.00939602],[0.00938703],[0.00937805],[0.00936907],[0.00936011],[0.00935115],[0.0093422],[0.00933326],[0.00932433],[0.00931541],[0.00930649],[0.00929759],[0.00928869],[0.0092798],[0.00927092],[0.00926205],[0.00925318],[0.00924433],[0.00923548],[0.00922664],[0.00921782],[0.00920899],[0.00920018],[0.00919138],[0.00918258],[0.00917379],[0.00916502],[0.00915624],[0.00914748],[0.00913873],[0.00912998],[0.00912125],[0.00911252],[0.0091038],[0.00909509],[0.00908638],[0.00907769],[0.009069],[0.00906032],[0.00905165],[0.00904299],[0.00903434],[0.00902569],[0.00901705],[0.00900842],[0.0089998],[0.00899119],[0.00898259],[0.00897399],[0.0089654],[0.00895682],[0.00894825]
[0.00937477],[0.00936952],[0.00936426],[0.00935901],[0.00935377],[0.00934852],[0.00934328],[0.00933804],[0.00933281],[0.00932758],[0.00932235],[0.00931712],[0.0093119],[0.00930668],[0.00930146],[0.00929625],[0.00929103],[0.00928583],[0.00928062],[0.00927542],[0.00927022],[0.00926502],[0.00925983],[0.00925463],[0.00924945],[0.00924426],[0.00923908],[0.0092339],[0.00922872],[0.00922355],[0.00921838],[0.00921321],[0.00920804],[0.00920288],[0.00919772],[0.00919257],[0.00918741],[0.00918226],[0.00917711],[0.00917197],[0.00916683],[0.00916169],[0.00915655],[0.00915142],[0.00914629],[0.00914116],[0.00913603],[0.00913091],[0.00912579],[0.00912068],[0.00911556],[0.00911045],[0.00910535],[0.00910024],[0.00909514],[0.00909004],[0.00908495],[0.00907985],[0.00907476],[0.00906967]
[0.00933787],[0.00935224],[0.00936663],[0.00938105],[0.00939548],[0.00940994],[0.00942442],[0.00943892],[0.00945345],[0.009468],[0.00948257],[0.00949716],[0.00951177],[0.00952641],[0.00954107],[0.00955575],[0.00957046],[0.00958519],[0.00959994],[0.00961471],[0.00962951],[0.00964432],[0.00965916],[0.00967403],[0.00968892],[0.00970383],[0.00971876],[0.00973371],[0.00974869],[0.0097637],[0.00977872],[0.00979377],[0.00980884],[0.00982393],[0.00983905],[0.00985419],[0.00986936],[0.00988454],[0.00989976],[0.00991499],[0.00993025],[0.00994553],[0.00996083],[0.00997616],[0.00999151],[0.01000689],[0.01002229],[0.01003771],[0.01005316],[0.01006863],[0.01008412],[0.01009964],[0.01011518],[0.01013075],[0.01014634],[0.01016195],[0.01017759],[0.01019325],[0.01020894],[0.01022465]
[0.00947628],[0.00947335],[0.00947042],[0.00946749],[0.00946456],[0.00946163],[0.0094587],[0.00945577],[0.00945284],[0.00944992],[0.00944699],[0.00944407],[0.00944114],[0.00943822],[0.0094353],[0.00943238],[0.00942946],[0.00942654],[0.00942362],[0.00942071],[0.00941779],[0.00941487],[0.00941196],[0.00940905],[0.00940613],[0.00940322],[0.00940031],[0.0093974],[0.00939449],[0.00939158],[0.00938868],[0.00938577],[0.00938287],[0.00937996],[0.00937706],[0.00937416],[0.00937125],[0.00936835],[0.00936545],[0.00936255],[0.00935966],[0.00935676],[0.00935386],[0.00935097],[0.00934807],[0.00934518],[0.00934229],[0.00933939],[0.0093365],[0.00933361],[0.00933072],[0.00932784],[0.00932495],[0.00932206],[0.00931918],[0.00931629],[0.00931341],[0.00931052],[0.00930764],[0.00930476]
[0.0094517],[0.00945551],[0.00945933],[0.00946314],[0.00946696],[0.00947078],[0.0094746],[0.00947842],[0.00948225],[0.00948607],[0.0094899],[0.00949373],[0.00949756],[0.00950139],[0.00950522],[0.00950905],[0.00951289],[0.00951673],[0.00952057],[0.00952441],[0.00952825],[0.00953209],[0.00953594],[0.00953979],[0.00954363],[0.00954748],[0.00955133],[0.00955519],[0.00955904],[0.0095629],[0.00956676],[0.00957062],[0.00957448],[0.00957834],[0.0095822],[0.00958607],[0.00958994],[0.0095938],[0.00959767],[0.00960155],[0.00960542],[0.00960929],[0.00961317],[0.00961705],[0.00962093],[0.00962481],[0.00962869],[0.00963258],[0.00963646],[0.00964035],[0.00964424],[0.00964813],[0.00965202],[0.00965591],[0.00965981],[0.00966371],[0.0096676],[0.0096715],[0.00967541],[0.00967931]
[0.009493],[0.00949717],[0.00950134],[0.00950552],[0.0095097],[0.00951388],[0.00951806],[0.00952224],[0.00952643],[0.00953062],[0.0095348],[0.009539],[0.00954319],[0.00954738],[0.00955158],[0.00955578],[0.00955998],[0.00956418],[0.00956838],[0.00957259],[0.0095768],[0.009581],[0.00958522],[0.00958943],[0.00959364],[0.00959786],[0.00960208],[0.0096063],[0.00961052],[0.00961474],[0.00961897],[0.0096232],[0.00962743],[0.00963166],[0.00963589],[0.00964013],[0.00964437],[0.0096486],[0.00965284],[0.00965709],[0.00966133],[0.00966558],[0.00966983],[0.00967408],[0.00967833],[0.00968258],[0.00968684],[0.0096911],[0.00969536],[0.00969962],[0.00970388],[0.00970815],[0.00971241],[0.00971668],[0.00972095],[0.00972522],[0.0097295],[0.00973377],[0.00973805],[0.00974233]
[0.00952924],[0.00952573],[0.00952221],[0.00951869],[0.00951518],[0.00951167],[0.00950816],[0.00950465],[0.00950114],[0.00949763],[0.00949413],[0.00949062],[0.00948712],[0.00948362],[0.00948012],[0.00947662],[0.00947312],[0.00946962],[0.00946613],[0.00946264],[0.00945914],[0.00945565],[0.00945216],[0.00944867],[0.00944518],[0.0094417],[0.00943821],[0.00943473],[0.00943125],[0.00942777],[0.00942429],[0.00942081],[0.00941733],[0.00941385],[0.00941038],[0.00940691],[0.00940343],[0.00939996],[0.00939649],[0.00939303],[0.00938956],[0.00938609],[0.00938263],[0.00937917],[0.0093757],[0.00937224],[0.00936878],[0.00936533],[0.00936187],[0.00935841],[0.00935496],[0.00935151],[0.00934805],[0.0093446],[0.00934115],[0.00933771],[0.00933426],[0.00933081],[0.00932737],[0.00932393]
[0.0095076],[0.00952034],[0.0095331],[0.00954587],[0.00955867],[0.00957148],[0.0095843],[0.00959715],[0.00961001],[0.00962289],[0.00963578],[0.0096487],[0.00966163],[0.00967457],[0.00968754],[0.00970052],[0.00971352],[0.00972654],[0.00973957],[0.00975263],[0.0097657],[0.00977878],[0.00979189],[0.00980501],[0.00981815],[0.00983131],[0.00984448],[0.00985768],[0.00987089],[0.00988412],[0.00989736],[0.00991063],[0.00992391],[0.00993721],[0.00995052],[0.00996386],[0.00997721],[0.00999058],[0.01000397],[0.01001738],[0.0100308],[0.01004425],[0.01005771],[0.01007119],[0.01008468],[0.0100982],[0.01011173],[0.01012528],[0.01013885],[0.01015244],[0.01016604],[0.01017967],[0.01019331],[0.01020697],[0.01022065],[0.01023434],[0.01024806],[0.01026179],[0.01027555],[0.01028932]
[0.00963955],[0.00964597],[0.0096524],[0.00965884],[0.00966528],[0.00967172],[0.00967817],[0.00968462],[0.00969107],[0.00969753],[0.009704],[0.00971047],[0.00971694],[0.00972342],[0.0097299],[0.00973639],[0.00974288],[0.00974937],[0.00975587],[0.00976238],[0.00976888],[0.0097754],[0.00978191],[0.00978843],[0.00979496],[0.00980149],[0.00980802],[0.00981456],[0.0098211],[0.00982765],[0.0098342],[0.00984076],[0.00984732],[0.00985388],[0.00986045],[0.00986702],[0.0098736],[0.00988018],[0.00988677],[0.00989336],[0.00989996],[0.00990655],[0.00991316],[0.00991977],[0.00992638],[0.009933],[0.00993962],[0.00994624],[0.00995287],[0.00995951],[0.00996615],[0.00997279],[0.00997944],[0.00998609],[0.00999275],[0.00999941],[0.01000608],[0.01001275],[0.01001942],[0.0100261]
[0.00970197],[0.00970167],[0.00970137],[0.00970107],[0.00970077],[0.00970047],[0.00970018],[0.00969988],[0.00969958],[0.00969928],[0.00969898],[0.00969868],[0.00969838],[0.00969809],[0.00969779],[0.00969749],[0.00969719],[0.00969689],[0.00969659],[0.00969629],[0.009696],[0.0096957],[0.0096954],[0.0096951],[0.0096948],[0.0096945],[0.00969421],[0.00969391],[0.00969361],[0.00969331],[0.00969301],[0.00969271],[0.00969242],[0.00969212],[0.00969182],[0.00969152],[0.00969122],[0.00969092],[0.00969063],[0.00969033],[0.00969003],[0.00968973],[0.00968943],[0.00968913],[0.00968884],[0.00968854],[0.00968824],[0.00968794],[0.00968764],[0.00968734],[0.00968705],[0.00968675],[0.00968645],[0.00968615],[0.00968585],[0.00968556],[0.00968526],[0.00968496],[0.00968466],[0.00968436]
[0.00970616],[0.00971326],[0.00972038],[0.00972749],[0.00973462],[0.00974175],[0.00974888],[0.00975602],[0.00976316],[0.00977031],[0.00977747],[0.00978462],[0.00979179],[0.00979896],[0.00980613],[0.00981332],[0.0098205],[0.00982769],[0.00983489],[0.00984209],[0.0098493],[0.00985651],[0.00986373],[0.00987095],[0.00987818],[0.00988541],[0.00989265],[0.00989989],[0.00990714],[0.0099144],[0.00992166],[0.00992892],[0.00993619],[0.00994347],[0.00995075],[0.00995804],[0.00996533],[0.00997263],[0.00997993],[0.00998724],[0.00999455],[0.01000187],[0.01000919],[0.01001652],[0.01002385],[0.01003119],[0.01003854],[0.01004589],[0.01005325],[0.01006061],[0.01006798],[0.01007535],[0.01008273],[0.01009011],[0.0100975],[0.01010489],[0.01011229],[0.0101197],[0.01012711],[0.01013452]
[0.00977093],[0.00976781],[0.00976468],[0.00976155],[0.00975843],[0.0097553],[0.00975218],[0.00974906],[0.00974593],[0.00974281],[0.00973969],[0.00973658],[0.00973346],[0.00973034],[0.00972723],[0.00972411],[0.009721],[0.00971789],[0.00971477],[0.00971166],[0.00970855],[0.00970545],[0.00970234],[0.00969923],[0.00969613],[0.00969302],[0.00968992],[0.00968682],[0.00968371],[0.00968061],[0.00967751],[0.00967441],[0.00967132],[0.00966822],[0.00966512],[0.00966203],[0.00965894],[0.00965584],[0.00965275],[0.00964966],[0.00964657],[0.00964348],[0.0096404],[0.00963731],[0.00963422],[0.00963114],[0.00962805],[0.00962497],[0.00962189],[0.00961881],[0.00961573],[0.00961265],[0.00960957],[0.0096065],[0.00960342],[0.00960035],[0.00959727],[0.0095942],[0.00959113],[0.00958806]
[0.00974616],[0.00975196],[0.00975776],[0.00976357],[0.00976938],[0.0097752],[0.00978102],[0.00978684],[0.00979267],[0.0097985],[0.00980433],[0.00981017],[0.00981601],[0.00982185],[0.0098277],[0.00983355],[0.0098394],[0.00984526],[0.00985112],[0.00985699],[0.00986285],[0.00986873],[0.0098746],[0.00988048],[0.00988636],[0.00989225],[0.00989814],[0.00990403],[0.00990992],[0.00991582],[0.00992173],[0.00992763],[0.00993354],[0.00993946],[0.00994537],[0.00995129],[0.00995722],[0.00996315],[0.00996908],[0.00997501],[0.00998095],[0.00998689],[0.00999284],[0.00999879],[0.01000474],[0.01001069],[0.01001665],[0.01002262],[0.01002858],[0.01003455],[0.01004053],[0.0100465],[0.01005249],[0.01005847],[0.01006446],[0.01007045],[0.01007644],[0.01008244],[0.01008844],[0.01009445]
[0.00980292],[0.00980262],[0.00980233],[0.00980203],[0.00980174],[0.00980144],[0.00980114],[0.00980085],[0.00980055],[0.00980026],[0.00979996],[0.00979966],[0.00979937],[0.00979907],[0.00979878],[0.00979848],[0.00979819],[0.00979789],[0.00979759],[0.0097973],[0.009797],[0.00979671],[0.00979641],[0.00979611],[0.00979582],[0.00979552],[0.00979523],[0.00979493],[0.00979464],[0.00979434],[0.00979404],[0.00979375],[0.00979345],[0.00979316],[0.00979286],[0.00979257],[0.00979227],[0.00979197],[0.00979168],[0.00979138],[0.00979109],[0.00979079],[0.0097905],[0.0097902],[0.0097899],[0.00978961],[0.00978931],[0.00978902],[0.00978872],[0.00978843],[0.00978813],[0.00978783],[0.00978754],[0.00978724],[0.00978695],[0.00978665],[0.00978636],[0.00978606],[0.00978577],[0.00978547]
[0.00980964],[0.00981928],[0.00982893],[0.00983858],[0.00984825],[0.00985793],[0.00986761],[0.00987731],[0.00988701],[0.00989672],[0.00990645],[0.00991618],[0.00992592],[0.00993567],[0.00994543],[0.0099552],[0.00996499],[0.00997478],[0.00998458],[0.00999438],[0.0100042],[0.01001403],[0.01002387],[0.01003372],[0.01004358],[0.01005344],[0.01006332],[0.01007321],[0.0100831],[0.01009301],[0.01010293],[0.01011285],[0.01012279],[0.01013273],[0.01014269],[0.01015265],[0.01016263],[0.01017261],[0.01018261],[0.01019261],[0.01020262],[0.01021265],[0.01022268],[0.01023272],[0.01024278],[0.01025284],[0.01026291],[0.010273],[0.01028309],[0.01029319],[0.01030331],[0.01031343],[0.01032356],[0.0103337],[0.01034386],[0.01035402],[0.01036419],[0.01037437],[0.01038456],[0.01039477]
[0.0098952],[0.00988554],[0.00987588],[0.00986623],[0.00985659],[0.00984696],[0.00983734],[0.00982773],[0.00981813],[0.00980854],[0.00979896],[0.00978938],[0.00977982],[0.00977027],[0.00976072],[0.00975119],[0.00974166],[0.00973214],[0.00972264],[0.00971314],[0.00970365],[0.00969417],[0.0096847],[0.00967524],[0.00966579],[0.00965634],[0.00964691],[0.00963749],[0.00962807],[0.00961866],[0.00960927],[0.00959988],[0.0095905],[0.00958113],[0.00957177],[0.00956242],[0.00955308],[0.00954375],[0.00953442],[0.00952511],[0.0095158],[0.00950651],[0.00949722],[0.00948794],[0.00947867],[0.00946941],[0.00946016],[0.00945092],[0.00944169],[0.00943246],[0.00942325],[0.00941404],[0.00940485],[0.00939566],[0.00938648],[0.00937731],[0.00936815],[0.009359],[0.00934985],[0.00934072]
[0.00980867],[0.00981653],[0.0098244],[0.00983228],[0.00984016],[0.00984805],[0.00985595],[0.00986385],[0.00987176],[0.00987967],[0.00988759],[0.00989552],[0.00990345],[0.00991139],[0.00991934],[0.00992729],[0.00993525],[0.00994321],[0.00995119],[0.00995916],[0.00996715],[0.00997514],[0.00998314],[0.00999114],[0.00999915],[0.01000717],[0.01001519],[0.01002322],[0.01003126],[0.0100393],[0.01004735],[0.0100554],[0.01006346],[0.01007153],[0.01007961],[0.01008769],[0.01009577],[0.01010387],[0.01011197],[0.01012008],[0.01012819],[0.01013631],[0.01014444],[0.01015257],[0.01016071],[0.01016885],[0.01017701],[0.01018517],[0.01019333],[0.0102015],[0.01020968],[0.01021787],[0.01022606],[0.01023426],[0.01024246],[0.01025067],[0.01025889],[0.01026712],[0.01027535],[0.01028359]
[0.00988162],[0.00987727],[0.00987291],[0.00986856],[0.00986421],[0.00985986],[0.00985551],[0.00985117],[0.00984683],[0.00984249],[0.00983815],[0.00983381],[0.00982948],[0.00982514],[0.00982081],[0.00981648],[0.00981216],[0.00980783],[0.00980351],[0.00979919],[0.00979487],[0.00979055],[0.00978623],[0.00978192],[0.00977761],[0.0097733],[0.00976899],[0.00976468],[0.00976038],[0.00975607],[0.00975177],[0.00974747],[0.00974318],[0.00973888],[0.00973459],[0.0097303],[0.00972601],[0.00972172],[0.00971744],[0.00971315],[0.00970887],[0.00970459],[0.00970031],[0.00969604],[0.00969176],[0.00968749],[0.00968322],[0.00967895],[0.00967469],[0.00967042],[0.00966616],[0.0096619],[0.00965764],[0.00965338],[0.00964913],[0.00964487],[0.00964062],[0.00963637],[0.00963212],[0.00962788]
[0.00982098],[0.00980295],[0.00978495],[0.00976698],[0.00974904],[0.00973114],[0.00971326],[0.00969543],[0.00967762],[0.00965985],[0.00964211],[0.0096244],[0.00960673],[0.00958908],[0.00957147],[0.0095539],[0.00953635],[0.00951884],[0.00950136],[0.00948391],[0.00946649],[0.0094491],[0.00943175],[0.00941443],[0.00939714],[0.00937988],[0.00936266],[0.00934546],[0.0093283],[0.00931117],[0.00929407],[0.009277],[0.00925996],[0.00924296],[0.00922598],[0.00920904],[0.00919213],[0.00917525],[0.0091584],[0.00914158],[0.00912479],[0.00910803],[0.0090913],[0.00907461],[0.00905794],[0.00904131],[0.0090247],[0.00900813],[0.00899159],[0.00897507],[0.00895859],[0.00894214],[0.00892572],[0.00890933],[0.00889296],[0.00887663],[0.00886033],[0.00884406],[0.00882782],[0.00881161]
