Step_1,Step_2,Step_3,Step_4,Step_5,Step_6
[999.36473127],[999.36474834],[999.364747],[999.36474565],[999.36474431],[999.36474297]
[999.33083067],[999.3304364],[999.3304374],[999.33043839],[999.33043938],[999.33044037]
[999.44661175],[999.44636005],[999.44635971],[999.44635937],[999.44635904],[999.4463587]
[999.44355223],[999.44360897],[999.44360502],[999.44360107],[999.44359712],[999.44359316]
[999.32785585],[999.32799446],[999.32799557],[999.32799667],[999.32799778],[999.32799889]
[999.28320349],[999.28314358],[999.28314436],[999.28314513],[999.28314591],[999.28314669]
[999.3407874],[999.34098093],[999.34097272],[999.34096451],[999.34095629],[999.34094808]
[999.25041958],[999.24991011],[999.24990146],[999.24989281],[999.24988416],[999.2498755]
[999.43663715],[999.4369778],[999.43695937],[999.43694095],[999.43692253],[999.4369041]
[999.20751347],[999.20710321],[999.20710022],[999.20709723],[999.20709424],[999.20709124]
[999.4316107],[999.4317712],[999.43176138],[999.43175155],[999.43174172],[999.43173189]
[999.2925848],[999.29279173],[999.29279008],[999.29278842],[999.29278677],[999.29278511]
[999.23551676],[999.23570749],[999.23570776],[999.23570802],[999.23570829],[999.23570856]
[999.23725753],[999.23716935],[999.23716985],[999.23717036],[999.23717086],[999.23717136]
[999.34036259],[999.34051613],[999.34051688],[999.34051762],[999.34051837],[999.34051912]
[999.27777176],[999.27779952],[999.27779867],[999.27779783],[999.27779698],[999.27779614]
[999.2955304],[999.29525219],[999.29525318],[999.29525417],[999.29525517],[999.29525616]
[999.42539976],[999.42535658],[999.42535414],[999.42535169],[999.42534924],[999.42534679]
[999.36182929],[999.36153389],[999.36153561],[999.36153733],[999.36153905],[999.36154077]
[999.44982755],[999.44976275],[999.44976171],[999.44976067],[999.44975962],[999.44975858]
[999.38468123],[999.38476715],[999.38476776],[999.38476837],[999.38476898],[999.38476959]
[999.30950003],[999.30965708],[999.30965796],[999.30965883],[999.30965971],[999.30966059]
[999.2699419],[999.26937475],[999.26937568],[999.26937661],[999.26937753],[999.26937846]
[999.51260927],[999.51276256],[999.51276303],[999.5127635],[999.51276398],[999.51276445]
[999.33722598],[999.33729081],[999.33728842],[999.33728603],[999.33728364],[999.33728125]
[999.28747311],[999.2873713],[999.28736952],[999.28736774],[999.28736595],[999.28736417]
[999.35114181],[999.35098945],[999.35099017],[999.3509909],[999.35099163],[999.35099236]
[999.39400626],[999.3937205],[999.39371854],[999.39371658],[999.39371462],[999.39371266]
[999.44252038],[999.44293179],[999.44292957],[999.44292735],[999.44292512],[999.4429229]
[999.20777459],[999.20728403],[999.20728406],[999.2072841],[999.20728414],[999.20728418]
[999.46448426],[999.46459398],[999.46459476],[999.46459554],[999.46459632],[999.4645971]
[999.34412406],[999.34386706],[999.34386501],[999.34386296],[999.34386091],[999.34385885]
[999.42496577],[999.42486291],[999.42485067],[999.42483844],[999.4248262],[999.42481396]
[999.38115295],[999.38140943],[999.38140743],[999.38140543],[999.38140343],[999.38140143]
[999.24378284],[999.24384099],[999.24384138],[999.24384177],[999.24384216],[999.24384255]
[999.29561005],[999.29610034],[999.29609622],[999.29609211],[999.29608799],[999.29608387]
[999.13245063],[999.13198689],[999.13198629],[999.13198569],[999.1319851],[999.1319845]
[999.46468906],[999.46481565],[999.46480714],[999.46479863],[999.46479012],[999.46478161]
[999.31440023],[999.31386357],[999.31386386],[999.31386415],[999.31386444],[999.31386473]
[999.54549031],[999.54545236],[999.54544743],[999.54544249],[999.54543755],[999.54543262]
[999.40233225],[999.40251127],[999.40250902],[999.40250677],[999.40250452],[999.40250226]
[999.27559631],[999.27567024],[999.27566992],[999.27566961],[999.27566929],[999.27566898]
[999.29823222],[999.29795555],[999.29795549],[999.29795543],[999.29795537],[999.29795531]
[999.45932454],[999.45918464],[999.45918482],[999.459185],[999.45918517],[999.45918535]
[999.44022554],[999.44034326],[999.44034025],[999.44033723],[999.44033421],[999.4403312]
[999.31255182],[999.31258222],[999.31257457],[999.31256691],[999.31255926],[999.3125516]
[999.31279363],[999.31229763],[999.31229804],[999.31229846],[999.31229887],[999.31229928]
[999.56302286],[999.56341174],[999.56340997],[999.5634082],[999.56340642],[999.56340465]
[999.23775563],[999.23765544],[999.23765308],[999.23765072],[999.23764836],[999.237646]
[999.36092676],[999.36129209],[999.36129021],[999.36128833],[999.36128646],[999.36128458]
